872218565RR0001,A NEW BEGINNING APOSTOLIC CHURCH,Registered,01/01/1997,793 PHARMACY AVE,SCARBOROUGH,ON,CA,M1L3K2
130387665RR0075,#3 STRIKER AIR CADET SQUADRON SPONSORING COMMITTEE,Registered,11/26/2004,"BOX 45, STN MAIN",STRATHROY,ON,CA,N7G3J1
130387665RR0036,#638 ALGONQUIN SQUADRON,Registered,09/01/1990,281 ISABELLA STREET,PEMBROKE,ON,CA,K8A5T1
851281857RR0001,L & A Feline Fixers ('L&AFF'),Registered,08/05/2009,151 INDUSTRIAL BLVD SUITE 13,NAPANEE,ON,CA,K7R3Y4
107396905RR0059,LOVE ASSEMBLY FOURSQUARE GOSPEL CHURCH,Registered,09/02/2003,"P.O. BOX 60618                1597 WILSON AVENUE, DOWNSVIEW",TORONTO,ON,CA,M3L2N5
891793580RR0001,LOVING OUTREACH,Registered,03/09/1992,4 ROXANNE DR,ST CATHARINES,ON,CA,L2M3G9
131818122RR0001,NEW LIFE GIRLS' HOME (CANADA),Registered,01/01/1989,PO BOX 149,CONSECON,ON,CA,K0K1T0
140996711RR0001,THE SWITCH YARD,Registered,10/25/1994,PO BOX 1037,BANCROFT,ON,CA,K0L1C0
844417519RR0001,iBellieve Foundation,Registered,02/08/2011,"225 DAVENPORT ROAD, SUITE 612",TORONTO,ON,CA,M5R3R2
837728690RR0001,iOrphan Canada,Registered,07/01/2009,160 ELGIN STREET              SUITE 2600,OTTAWA,ON,CA,K1P1C3
893184473RR0001,(SHOUTERS) NATIONAL EVANGELICAL SPIRITUAL BAPTIST FAITH INTERNATIONAL CENTRE OF CANADA,Registered,10/05/1988,116 COURTLANDS DR.,SCARBOROUGH,ON,CA,M1B4M7